Query_ID	Doc_ID	Rank	Score
1	51	1	11.5
1	874	2	11.0
1	486	3	9.0
1	329	4	8.0
1	792	5	7.0
1	1268	6	7.0
1	12	7	6.5
1	1328	8	6.5
1	1263	9	6.0
1	193	10	6.0
1	564	11	6.0
1	435	12	5.5
1	717	13	5.5
1	982	14	5.5
1	876	15	5.5
1	522	16	5.5
1	114	17	5.5
1	1144	18	5.5
1	101	19	5.0
1	588	20	5.0
1	184	21	5.0
1	315	22	5.0
1	685	23	5.0
1	272	24	5.0
1	82	25	5.0
1	158	26	5.0
1	252	27	5.0
1	662	28	5.0
1	1147	29	5.0
1	1226	30	4.5
1	56	31	4.5
1	294	32	4.5
1	962	33	4.5
1	13	34	4.5
1	576	35	4.5
1	1104	36	4.5
1	1097	37	4.5
1	606	38	4.5
1	283	39	4.5
1	156	40	4.5
1	712	41	4.0
1	240	42	4.0
1	686	43	4.0
1	493	44	4.0
1	359	45	4.0
1	1213	46	4.0
1	798	47	4.0
1	328	48	4.0
1	1040	49	4.0
1	395	50	4.0
1	878	51	4.0
1	635	52	4.0
1	623	53	4.0
1	29	54	4.0
1	707	55	4.0
1	14	56	4.0
1	1341	57	4.0
1	1164	58	3.5
1	25	59	3.5
1	49	60	3.5
1	1393	61	3.5
1	571	62	3.5
1	747	63	3.5
1	1169	64	3.5
1	1207	65	3.5
1	799	66	3.5
1	572	67	3.5
1	253	68	3.5
1	364	69	3.5
1	554	70	3.5
1	244	71	3.5
1	800	72	3.5
1	332	73	3.5
1	542	74	3.5
1	566	75	3.5
1	1300	76	3.0
1	1107	77	3.0
1	453	78	3.0
1	216	79	3.0
1	144	80	3.0
1	431	81	3.0
1	986	82	3.0
1	555	83	3.0
1	1244	84	3.0
1	872	85	3.0
1	262	86	3.0
1	5	87	3.0
1	378	88	3.0
1	658	89	3.0
1	1191	90	3.0
1	141	91	3.0
1	77	92	3.0
1	1338	93	3.0
1	280	94	3.0
1	1098	95	3.0
1	944	96	3.0
1	78	97	3.0
1	142	98	3.0
1	546	99	3.0
1	214	100	3.0
1	746	101	3.0
1	1201	102	3.0
1	873	103	3.0
1	102	104	3.0
1	100	105	3.0
1	1163	106	2.5
1	1212	107	2.5
1	1340	108	2.5
1	625	109	2.5
1	185	110	2.5
1	879	111	2.5
1	80	112	2.5
1	195	113	2.5
1	603	114	2.5
1	120	115	2.5
1	197	116	2.5
1	164	117	2.5
1	1155	118	2.5
1	302	119	2.5
1	1366	120	2.5
1	959	121	2.5
1	999	122	2.5
1	865	123	2.5
1	33	124	2.5
1	695	125	2.5
1	1186	126	2.5
1	24	127	2.5
1	92	128	2.5
1	45	129	2.5
1	811	130	2.5
1	62	131	2.5
1	423	132	2.5
1	209	133	2.5
1	711	134	2.5
1	52	135	2.5
1	578	136	2.5
1	981	137	2.5
1	123	138	2.5
1	976	139	2.5
1	497	140	2.5
1	274	141	2.5
1	584	142	2.5
1	202	143	2.5
1	573	144	2.5
1	661	145	2.5
1	663	146	2.5
1	316	147	2.5
1	135	148	2.5
1	526	149	2.5
1	69	150	2.5
1	414	151	2.5
1	665	152	2.5
1	638	153	2.5
1	552	154	2.5
1	1307	155	2.5
1	991	156	2.5
1	1250	157	2.5
1	593	158	2.5
1	1282	159	2.5
1	1380	160	2.5
1	1158	161	2.0
1	269	162	2.0
1	994	163	2.0
1	85	164	2.0
1	1204	165	2.0
1	1161	166	2.0
1	1168	167	2.0
1	553	168	2.0
1	860	169	2.0
1	700	170	2.0
1	354	171	2.0
1	57	172	2.0
1	1315	173	2.0
1	801	174	2.0
1	293	175	2.0
1	634	176	2.0
1	172	177	2.0
1	342	178	2.0
1	1346	179	2.0
1	1348	180	2.0
1	755	181	2.0
1	1218	182	2.0
1	1157	183	2.0
1	352	184	2.0
1	430	185	2.0
1	455	186	2.0
1	500	187	2.0
1	145	188	2.0
1	713	189	2.0
1	110	190	2.0
1	334	191	2.0
1	406	192	2.0
1	1344	193	2.0
1	980	194	2.0
1	817	195	2.0
1	494	196	2.0
1	624	197	2.0
1	666	198	2.0
1	353	199	2.0
1	1279	200	2.0
2	12	1	10.5
2	51	2	9.5
2	792	3	8.0
2	588	4	8.0
2	1147	5	8.0
2	92	6	7.0
2	1169	7	6.5
2	1263	8	6.5
2	712	9	6.0
2	329	10	6.0
2	640	11	6.0
2	100	12	6.0
2	576	13	5.5
2	114	14	5.5
2	14	15	5.5
2	810	16	5.0
2	658	17	5.0
2	746	18	5.0
2	874	19	4.5
2	172	20	4.5
2	724	21	4.5
2	876	22	4.5
2	82	23	4.5
2	156	24	4.5
2	730	25	4.5
2	1380	26	4.5
2	700	27	4.0
2	315	28	4.0
2	253	29	4.0
2	798	30	4.0
2	606	31	4.0
2	47	32	4.0
2	193	33	4.0
2	1341	34	4.0
2	1163	35	3.5
2	806	36	3.5
2	1089	37	3.5
2	1379	38	3.5
2	561	39	3.5
2	33	40	3.5
2	364	41	3.5
2	578	42	3.5
2	884	43	3.5
2	77	44	3.5
2	579	45	3.5
2	252	46	3.5
2	641	47	3.5
2	486	48	3.5
2	1144	49	3.5
2	1361	50	3.5
2	732	51	3.0
2	1392	52	3.0
2	453	53	3.0
2	101	54	3.0
2	986	55	3.0
2	262	56	3.0
2	2	57	3.0
2	726	58	3.0
2	574	59	3.0
2	1108	60	3.0
2	804	61	3.0
2	976	62	3.0
2	141	63	3.0
2	837	64	3.0
2	416	65	3.0
2	395	66	3.0
2	638	67	3.0
2	244	68	3.0
2	1042	69	3.0
2	731	70	3.0
2	721	71	3.0
2	1170	72	3.0
2	214	73	3.0
2	1201	74	3.0
2	288	75	3.0
2	1265	76	3.0
2	1300	77	2.5
2	216	78	2.5
2	1309	79	2.5
2	997	80	2.5
2	195	81	2.5
2	293	82	2.5
2	1320	83	2.5
2	184	84	2.5
2	1157	85	2.5
2	747	86	2.5
2	1095	87	2.5
2	982	88	2.5
2	493	89	2.5
2	1328	90	2.5
2	811	91	2.5
2	685	92	2.5
2	209	93	2.5
2	52	94	2.5
2	624	95	2.5
2	1375	96	2.5
2	497	97	2.5
2	202	98	2.5
2	316	99	2.5
2	69	100	2.5
2	805	101	2.5
2	429	102	2.5
2	725	103	2.5
2	78	104	2.5
2	552	105	2.5
2	729	106	2.5
2	266	107	2.5
2	593	108	2.5
2	1303	109	2.5
2	1002	110	2.5
2	1202	111	2.5
2	781	112	2.5
2	1158	113	2.0
2	441	114	2.0
2	1212	115	2.0
2	831	116	2.0
2	410	117	2.0
2	435	118	2.0
2	85	119	2.0
2	909	120	2.0
2	826	121	2.0
2	921	122	2.0
2	1168	123	2.0
2	625	124	2.0
2	883	125	2.0
2	80	126	2.0
2	1088	127	2.0
2	1295	128	2.0
2	25	129	2.0
2	1224	130	2.0
2	1197	131	2.0
2	374	132	2.0
2	1015	133	2.0
2	672	134	2.0
2	1244	135	2.0
2	987	136	2.0
2	430	137	2.0
2	695	138	2.0
2	1035	139	2.0
2	834	140	2.0
2	799	141	2.0
2	110	142	2.0
2	334	143	2.0
2	406	144	2.0
2	723	145	2.0
2	272	146	2.0
2	711	147	2.0
2	297	148	2.0
2	733	149	2.0
2	980	150	2.0
2	1246	151	2.0
2	284	152	2.0
2	1217	153	2.0
2	350	154	2.0
2	1195	155	2.0
2	1279	156	2.0
2	328	157	2.0
2	349	158	2.0
2	458	159	2.0
2	908	160	2.0
2	1063	161	2.0
2	896	162	2.0
2	1338	163	2.0
2	456	164	2.0
2	280	165	2.0
2	835	166	2.0
2	321	167	2.0
2	499	168	2.0
2	1051	169	2.0
2	1294	170	2.0
2	722	171	2.0
2	211	172	2.0
2	878	173	2.0
2	870	174	2.0
2	1219	175	2.0
2	1389	176	2.0
2	1385	177	2.0
2	991	178	2.0
2	75	179	2.0
2	812	180	2.0
2	29	181	2.0
2	542	182	2.0
2	129	183	2.0
2	589	184	2.0
2	914	185	2.0
2	368	186	2.0
2	833	187	2.0
2	204	188	2.0
2	404	189	2.0
2	540	190	2.0
2	433	191	2.0
2	1167	192	2.0
2	220	193	1.5
2	1056	194	1.5
2	263	195	1.5
2	187	196	1.5
2	911	197	1.5
2	1012	198	1.5
2	840	199	1.5
2	1087	200	1.5
3	144	1	7.0
3	542	2	6.5
3	707	3	6.5
3	5	4	5.5
3	395	5	5.5
3	662	6	5.5
3	329	7	5.5
3	564	8	5.5
3	962	9	5.0
