Query_ID	Doc_ID	Rank	Score
1	798	1	24.0
1	1147	2	24.0
1	1313	3	23.5
1	792	4	23.0
1	874	5	23.0
1	131	6	23.0
1	51	7	22.0
1	717	8	21.5
1	262	9	20.0
1	640	10	20.0
1	244	11	19.5
1	1201	12	19.5
1	576	13	19.0
1	329	14	19.0
1	1144	15	19.0
1	193	16	18.5
1	662	17	18.0
1	14	18	18.0
1	826	19	17.5
1	695	20	17.5
1	1040	21	17.5
1	927	22	17.5
1	928	23	17.0
1	962	24	17.0
1	1268	25	16.5
1	721	26	16.5
1	89	27	16.5
1	1047	28	16.5
1	588	29	16.0
1	1104	30	16.0
1	82	31	16.0
1	499	32	16.0
1	83	33	16.0
1	433	34	16.0
1	49	35	15.5
1	1277	36	15.5
1	1239	37	15.5
1	1226	38	15.0
1	673	39	15.0
1	73	40	15.0
1	272	41	15.0
1	373	42	15.0
1	344	43	14.5
1	56	44	14.5
1	1244	45	14.5
1	315	46	14.5
1	96	47	14.5
1	658	48	14.5
1	140	49	14.5
1	414	50	14.5
1	730	51	14.5
1	1392	52	14.0
1	94	53	14.0
1	976	54	14.0
1	704	55	14.0
1	1335	56	14.0
1	156	57	14.0
1	486	58	14.0
1	712	59	13.5
1	625	60	13.5
1	710	61	13.5
1	947	62	13.5
1	300	63	13.5
1	33	64	13.5
1	417	65	13.5
1	9	66	13.5
1	1263	67	13.5
1	151	68	13.5
1	29	69	13.5
1	1300	70	13.0
1	85	71	13.0
1	325	72	13.0
1	1292	73	13.0
1	811	74	13.0
1	572	75	13.0
1	225	76	13.0
1	77	77	13.0
1	114	78	13.0
1	252	79	13.0
1	992	80	12.5
1	216	81	12.5
1	1218	82	12.5
1	170	83	12.5
1	1072	84	12.5
1	274	85	12.5
1	1061	86	12.5
1	946	87	12.5
1	395	88	12.5
1	638	89	12.5
1	1307	90	12.5
1	675	91	12.5
1	210	92	12.5
1	435	93	12.0
1	277	94	12.0
1	80	95	12.0
1	25	96	12.0
1	342	97	12.0
1	197	98	12.0
1	12	99	12.0
1	1328	100	12.0
1	364	101	12.0
1	189	102	12.0
1	99	103	12.0
1	332	104	12.0
1	991	105	12.0
1	707	106	12.0
1	1119	107	12.0
1	1167	108	12.0
1	564	109	12.0
1	240	110	11.5
1	172	111	11.5
1	294	112	11.5
1	1325	113	11.5
1	110	114	11.5
1	423	115	11.5
1	1322	116	11.5
1	1375	117	11.5
1	889	118	11.5
1	522	119	11.5
1	917	120	11.5
