Query_id	Relevant_Doc_id
1	12
1	29
1	30
1	31
1	37
1	51
1	56
1	57
1	66
1	95
1	102
1	184
1	185
1	378
1	497
1	858
1	859
1	875
1	876
1	879
1	880
2	12
2	15
2	51
2	102
2	184
2	202
2	285
2	390
2	391
2	497
2	643
2	658
2	746
2	856
2	857
2	858
2	859
2	864
2	877
2	948
3	5
3	6
3	90
3	91
3	119
3	144
3	181
3	399
4	166
4	236
5	401
5	552
5	1296
5	1297
6	99
6	115
6	257
6	258
7	20
7	56
7	57
7	58
8	20
8	48
8	58
8	122
8	196
8	197
8	354
8	360
8	999
8	1005
8	1112
9	21
9	22
9	550
10	259
10	302
10	405
10	436
10	437
10	438
10	998
10	1011
11	27
11	28
11	262
11	263
12	86
12	194
12	650
12	652
13	64
13	265
14	64
15	462
15	463
16	106
16	196
16	266
17	106
17	196
18	196
18	197
18	198
19	32
19	67
19	164
19	639
19	715
19	716
19	717
20	87
20	88
20	104
20	267
20	268
20	269
20	270
20	407
20	408
21	16
21	271
21	413
21	414
22	68
23	200
23	201
23	544
23	593
23	597
23	601
23	634
23	687
23	698
23	700
23	704
23	705
23	749
23	899
23	900
23	901
23	902
23	903
23	917
23	919
23	1109
23	1112
23	1141
23	1197
23	1256
23	1259
23	1272
23	1289
23	1290
24	46
24	47
24	92
25	212
25	213
25	214
25	215
25	216
25	276
25	277
25	426
25	427
26	145
26	376
26	406
26	565
26	611
26	1076
27	224
27	278
27	428
28	224
28	279
29	225
29	250
29	514
29	609
29	612
29	793
30	225
30	464
30	466
30	514
30	609
30	612
32	249
32	465
32	777
32	778
33	252
33	431
34	252
34	431
34	672
34	714
34	799
34	800
35	132
35	166
35	167
36	168
36	169
37	97
37	121
37	172
37	173
37	187
37	188
37	242
37	409
37	487
38	24
38	272
38	283
38	552
38	553
38	554
38	555
38	556
39	24
39	79
39	207
39	272
39	283
39	418
39	505
39	552
39	554
39	555
39	556
39	1257
40	24
40	85
40	272
40	283
40	552
40	553
40	554
40	555
40	556
40	976
41	288
41	289
41	433
42	467
42	468
42	469
42	470
43	39
43	467
43	468
43	469
43	503
43	775
44	302
44	436
45	305
45	308
45	338
45	481
45	570
45	572
45	629
45	663
45	798
45	1185
46	305
46	338
46	344
46	481
46	570
46	623
46	798
47	304
47	305
47	306
47	307
47	309
47	310
47	570
47	572
47	629
47	663
47	798
47	1185
47	1355
48	311
48	316
48	439
48	440
48	797
48	798
49	320
50	326
50	629
51	23
51	94
51	105
51	192
51	381
51	494
51	629
52	21
52	22
52	306
53	33
53	296
54	24
54	84
54	101
54	294
54	364
54	365
54	560
55	16
55	255
55	271
55	375
55	378
55	460
55	502
55	562
56	380
